Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
"expendables 3, the",pg13,,"antonio banderas, arnold schwarzenegger, dolph lundgren, glen powell, harrison ford, jason statham, jet li, kellan lutz, kelsey grammer, mel gibson, randy couture, ronda rousey, sylvester stallone, terry crews, victor ortiz, wesley snipes",action,8/15/2014,patrick hughes,lgf,lionsgate,2014,,english,"avi lerner, danny lerner, kevin king templeton, les weldon, sylvester stallone",nu image films,Q3 2014,dolby srd,scope,"creighton rothenberger, katrin benedikt, sylvester stallone","39,322,544",102,"3,221","3,221","20,918,177","5,950,169","4,930","15,879,645","3,221",128
teeth,r,,"hale appleman, jess weixler, john hensley, josh pais","comedy, horror",1/18/2008,mitchell lichtenstein,rsa,roadside attractions,2008,,english,"joyce pierpoline, mitchell lichtenstein",,Q1 2008,"dolby sr, dolby srd",flat,,"347,578",109,4,16,"47,656","9,394","7,380","29,521",4,94
"american in hollywood, an",r,,"anil raman, azure-de, hassan johnson, j.d. williams","comedy, drama",7/18/2014,sai varadan,ind,independent,2015,,english,"al thompson, jason pollard, mo burnahm, venk varadan",,Q3 2014,,,,0,438,4,4,0,0,0,0,4,89
kink,,,"peter acworth, van darkholme",documentary,01/19/2014 (sun),christina voros,ind,independent,2015,,english,,,Q1 2014,,,,0,387,0,0,0,0,0,0,0,80
stoker,r,,"dermot mulroney, harmony korine, jacki weaver, lucas till, matthew goode, mia wasikowska, nicole kidman, phyllis somerville, ralph brown","drama, horror",3/1/2013,park chan-wook,fsl,fox searchlight,2013,,english,"michael costigan, ridley scott, tony scott",scott free productions,Q1 2013,dolby srd,scope,wentworth miller,"1,714,221",109,7,275,"214,488","47,700","22,935","160,547",7,98
"hip hop project, the",pg13,,"alexander esway, chris ""kazi"" rolle, christopher ""cannon"" mapp, diana ""princess"" lemon, doug e. fresh, russell simmons",documentary,5/11/2007,matt ruskin,thf,thinkfilm,2010,,english,scott k. rosenberg,pressure point films,Q2 2007,"dolby sr, dolby srd",flat,,"46,208",970,42,42,"46,208",0,774,"32,520",42,90
miracles from heaven,pg,,"jennifer garner, john carroll lynch, martin henderson, queen latifah",drama,03/16/2016 (wed),patricia riggen,sny,sony,2016,,english,"devon franklin, joe roth, t.d. jakes","franklin entertainment, roth films, tdj enterprises",Q1 2016,dolby srd,flat,randy brown,"61,705,123",118,"3,047","3,155","21,052,960","1,887,811","4,861","14,812,393","3,047",109
cartels,r,,"georges st-pierre, luke goss, steven seagal","suspense, action",7/7/2017,keoni waxman,tfa,the film arcade,2017,,english,"steven seagal, tat binh dang","24tl productions, action house, daro film distribution",Q3 2017,dolby srd,flat,"keoni waxman, richard beattie",0,74,10,10,0,0,0,0,10,100
then she found me,r,,"ben shenkman, bette midler, colin firth, helen hunt, lynn cohen, matthew broderick","comedy, drama, romance",4/25/2008,helen hunt,thf,thinkfilm,2008,,english,"christine vachon, connie tavel, helen hunt, katie roumel, pamela koffler",,Q2 2008,"dolby sr, dolby srd",flat,,"3,735,717",137,9,153,"94,661",0,"8,066","72,594",9,100
man from reno,nr,,"ayako fujitani, elisha skorman, hiroshi watanabe, kazuki kitamura, masami kosaka, pepe serna, shiori ideta, tetsuo kuramochi, yasuyo shiba, yuki matsuzaki",suspense,3/27/2015,dave boyle,ind,independent,,,english,ko mori,,Q1 2015,dolby srd,scope,"dave boyle, joel clark, michael lerman","101,438",0,4,7,"20,782",0,"3,790","15,158",4,111
me before you,pg13,,"brendan coyle, charles dance, emilia clarke, janet mcteer, jenna coleman, matthew lewis, sam claflin, vanessa kirby","drama, foreign, romance",6/3/2016,thea sharrock,wb,warner bros.,2016,,english,"karen rosenfelt, sue baden-powell",sunswept entertainment,Q2 2016,quad,scope,"jojo moyes, michael h. weber, scott neustadter","56,245,075",88,"2,704","2,762","27,612,578","7,777,448","6,924","18,723,269","2,704",110
"disappointments room, the",r,,"gerald mcraney, kate beckinsale, lucas till, mel raido","suspense, drama",9/9/2016,d.j. caruso,rel,relativity media,2016,,english,geyer kosinski,"demarest films, media talent group, relativity media",Q3 2016,,scope,"d.j. caruso, wentworth miller","2,414,077",102,"1,554","1,554","1,840,775","474,220",903,"1,402,822","1,554",100
call me by your name,r,best adapted screenplay,"amira casar, armie hammer, elena bucci, timothee chalamet, vanda capriolo","drama, foreign, romance",11/24/2017,luca guadagnino,spc,sony pictures classics,2018,,english,"emilie georges, howard rosenman, james ivory, luca guadagnino, marco morabito, rodrigo teixeira","fortress features, frenesy film company, la cinefacture",Q4 2017,dolby srd,flat,"james ivory, luca guadagnino, walter fasano","17,458,151",109,4,914,"626,895",0,"103,233","412,932",4,130
"11th hour, the (2007)",pg,,leonardo dicaprio,documentary,8/17/2007,"leila conners petersen, nadia conners",wip,warner independent pictures,2008,,english,"brian gerber, chuck castleberry, leila conners petersen, leonardo dicaprio",appian way,Q3 2007,quad,flat,"leila conners petersen, leonardo dicaprio, nadia conners","707,343",235,4,111,"80,413","25,222","15,213","60,853",4,93
going to america,nr,,"eddie griffin, joe sabatino, josh meyers, mindy robinson, najarra townsend","comedy, drama",8/28/2015,param gill,ind,independent,2016,,english,"bhandal, param gill",,Q3 2015,,,"john buchanan, param gill, vojko anzeljc",0,249,0,0,0,0,0,0,0,90
"hollow, the",nr,,"james callis, jeff fahey, miles doleac, william forsythe, william sadler",suspense,10/7/2016,miles doleac,ind,independent,,,english,"mackenzie westmoreland, miles doleac, ryan h. jackson",,Q4 2016,dolby srd,scope,miles doleac,0,0,13,13,0,0,0,0,13,129
wheels,r,,"diana gettinger, donavon thomas, kevin mccorkle, patrick hume",drama,9/19/2014,"donavon thomas, tim gagliardo",ind,independent,,,english,"donavon thomas, tim gagliardo",,Q3 2014,,scope,donavon thomas,0,0,1,1,0,0,0,0,1,114
take,r,,"adam rodriguez, bill mckinney, bobby coleman, david denman, jeremy renner, minnie driver",drama,7/18/2008,charles oliver,libent,liberation entertainment,2009,,english,chet thomas,,Q3 2008,dolby srd,scope,charles oliver,"6,627",221,1,4,"1,978",0,"1,264","1,264",1,99
pet,r,,"dominic monaghan, jennette mccurdy, ksenia solo, nathan parsons","horror, suspense",12/01/2016 (thu),carles torrens,orirl,orion releasing,2016,,english,"carles torrens, nick phillips",,Q4 2016,,,jeremy slater,"4,801",26,0,13,"4,801",0,0,0,13,94
"no pay, nudity",r,,"donna murphy, frances conroy, gabriel byrne, nathan lane","comedy, drama",11/11/2016,lee wilkof,mont,monterey media,2016,,english,,,Q4 2016,,,,"20,017",32,3,7,"4,458",0,"1,074","3,221",3,92
off and running,nr,,,documentary,1/29/2010,nicole opper,fsr,first run,,,english,"nicole opper, sharese bullock",,Q1 2010,,digital,,"18,262",0,1,10,"11,967",0,"7,978","7,978",1,76
a life in waves,nr,,,documentary,7/28/2017,brett whitcomb,fmbf,filmbuff,,,english,bradford thomason,window pictures,Q3 2017,dolby srd,digital,bradford thomason,0,0,6,6,0,0,0,0,6,74
julia,r,,"ashley c. williams, jack noseworthy, joel de la fuente, tahyna tozzi","horror, suspense",10/23/2015,matthew a. brown,arch,archstone distribution,2016,,english,"matthew a. brown, ty walker","farraj factory, kinetic arts, tycor international film company",Q4 2015,,scope,matthew a. brown,"2,710",123,5,5,"2,710",0,422,"2,110",5,94
how to seduce difficult women,nr,,"jackie hoffman, louis-do de lencquesaing, rachel roberts, stephanie szostak",comedy,10/30/2009,richard temtchine,ind,independent,,,english,richard temtchine,,Q4 2009,,,richard temtchine,0,0,0,0,0,0,0,0,0,100
liars all,nr,,"alice evans, darin brooks, matt lanter, randy wayne, sara paxton",suspense,06/20/2013 (thu),brian brightly,ind,independent,2013,,english,,,Q2 2013,,,brian brightly,0,47,0,0,0,0,0,0,0,0
da sweet blood of jesus,nr,,"elvis nolasco, felicia snoop pearson, jeni perillo, joie lee, rami malek, stephen tyrone williams, thomas jefferson byrd, zaraah abrahams","drama, romance",2/13/2015,spike lee,grav,gravitas ventures,2015,,english,"chiz schultz, spike lee",,Q1 2015,dolby srd,scope,"bill gunn, spike lee",0,102,0,0,0,0,0,0,0,124
kid brother,nr,,"alan longstreet, peter herold, tonya hawkins","drama, comedy",09/13/2017 (wed),devin cameron,ind,independent,,,english,bryce cameron,,Q3 2017,stereo,flat,devin cameron,0,0,0,0,0,0,0,0,0,82
frozen,pg,"best animated feature film, best song","alan tudyk, chris williams, eva bella, idina menzel, jonathan groff, josh gad, kristen bell, livvy stubenrauch, patricia lentz, santino fontana","animation, adventure, family, musical",11/22/2013,"chris buck, jennifer lee",dis,disney,2014,,english,"john lasseter, peter del vecho",walt disney feature animation,Q4 2013,quad,"digital 3d, scope",jennifer lee,"400,738,009",116,1,"3,742","26,541,900","66,498","243,390","243,390",1,108
kiss the water,,,,"documentary, animation, foreign",,eric steel,oth,other,,,english,"eric steel, kate swan",,,,,eric steel,0,0,0,0,0,0,0,0,0,0
gainsbourg (heroic life),nr,,"anna mouglalis, doug jones, eric elmosnino, laetitia casta, lucy gordon","drama, foreign",08/31/2011 (wed),joann sfar,music,music box films,2010,,french,,,Q3 2011,dolby srd,scope,joann sfar,"233,007",-309,1,18,"43,523",0,"8,396","25,189",3,122
big men,nr,,,documentary,3/14/2014,rachel boynton,abr,abramorama,,,english,rachel boynton,,Q1 2014,dolby sr,flat,,"55,033",0,1,3,"11,030",0,"7,539","7,539",1,99
echoes of war,r,,"ethan embry, james badge dale, maika monroe, rhys wakefield, william forsythe","drama, suspense, western",5/15/2015,kane senes,ind,independent,2015,,english,"dave szamet, j.m.r. luna, john chriss, kyle fischer, steven j. berger",,Q2 2015,dolby srd,digital,"john chriss, kane senes",0,53,10,10,0,0,0,0,10,104
"what happened, miss simone?",nr,,,documentary,06/24/2015 (wed),liz garbus,ind,independent,2016,,english,,,Q2 2015,,,,0,436,0,0,0,0,0,0,0,101
after,pg13,,"karolina wydra, madison lintz, ric reitz, sandra ellis lafferty, steven strait",suspense,9/14/2012,ryan smith,ind,independent,2017,,english,brandon gregory,,Q3 2012,,scope,ryan smith,0,"1,586",0,0,0,0,0,0,0,0
"crash reel, the",nr,,"jake burton, mason aguirre, shaun white",drama,9/27/2013,lucy walker,ind,independent,2014,,english,,,Q3 2013,,,,0,130,0,0,0,0,0,0,0,0
hobbit: the battle of the five armies,pg13,,"=""aidan turner, benedict cumberbatch, billy connolly, bret mckenzie, cate blanchett, christopher lee, elijah wood, evangeline lilly, graham mctavish, hugo weaving, ian holm, ian mckellen, james nesbitt, lee pace, luke evans, martin freeman, mikael persbra","adventure, fantasy, foreign",12/17/2014 (wed),peter jackson,wb,warner bros.,2015,,english,"carolynne cunningham, fran walsh, peter jackson","metro-goldwyn-mayer (mgm), new line cinema, wingnut films",Q4 2014,quad,"3d, imax, scope","fran walsh, guillermo del toro, peter jackson, philippa boyens","255,119,788",97,"3,875","3,875","92,688,908","24,452,117","14,122","54,724,334","3,875",144
dark house,r,,"alex mckenna, anthony rey perez, ethan s. smith, lacey anzelc, luke kleintank, zack ward","horror, suspense",3/21/2014,victor salva,ind,independent,2014,,english,tobin bell,,Q1 2014,,,,0,-10,0,0,0,0,0,0,0,0
"big shot caller, the",nr,,"david rhein, laneya wiles, leslie eva glaser, marlene rhein",drama,5/15/2009,marlene rhein,ida,independent artists,2010,,english,christine giorgio,,Q2 2009,,,marlene rhein,0,585,0,0,0,0,0,0,0,90
birdemic 2: the resurrection,nr,,"alan bagh, carrie stevens, whitney moore","action, comedy, horror",04/10/2013 (wed),james nguyen,ind,independent,,,english,,,Q2 2013,,,,0,0,0,0,0,0,0,0,0,90
lost in florence,nr,,"alessandra mastronardi, alessandro preziosi, brett dalton, emily atack, marco bonini, robert aramayo, stana katic","drama, foreign, romance",1/27/2017,evan oppenheimer,orirl,orion releasing,,,english,"alessandro penazzi, edward schmidt, michael mailer, wendy blackstone",,Q1 2017,dolby srd,flat,evan oppenheimer,0,0,11,11,0,0,0,0,11,97
gray matters (2007),pg13,,"alan cumming, bridget moynahan, heather graham, molly shannon, rachel shelley, sissy spacek, thomas cavanagh",romantic comedy,2/23/2007,sue kramer,yfg,yari film group releasing,2007,,english,"jill footlick, sue kramer",bob yari productions,Q1 2007,"dolby sr, dolby srd, sdds",flat,,"71,561",116,15,19,"35,269","8,884","1,714","25,714",15,97
"civilization of maxwell bright, the",nr,,"austin pendleton, carol kane, eric roberts, jennifer tilly, kurt fuller, marie matiko, missi pyle, patrick warburton, simon callow",drama,10/12/2007,david beaird,ind,independent,2008,,english,steven j. wolfe,sneak preview entertainment,Q4 2007,,,,0,144,0,0,0,0,0,0,0,112
nights and weekends,pg,,"greta gerwig, jay duplass, joe swanberg",drama,10/10/2008,"greta gerwig, joe swanberg",ifc,ifc films,2009,,english,"anish savjani, dia sokol, greta gerwig, joe swanberg",,Q4 2008,,,"greta gerwig, joe swanberg","5,430",319,1,1,"5,430",0,"2,902","2,902",1,79
"big wedding, the",r,,"amanda seyfried, ana ayora, ben barnes, david rasche, diane keaton, katherine heigl, kyle bornheimer, patricia rae, robert de niro, robin williams, susan sarandon, topher grace",romantic comedy,4/26/2013,justin zackham,lgf,lionsgate,2013,,english,"clay pecorin, justin zackham, richard salvatore",nu image entertainment gmbh,Q2 2013,"dts, dolby srd",scope,justin zackham,"21,819,348",109,"2,633","2,633","10,334,565","2,576,573","2,883","7,591,663","2,633",88
grit and grind,,,"barbara malaran, imani henry",documentary,02/12/2014 (wed),felix endara,ind,independent,,,english,,,Q1 2014,,,"felix endara, sasha wortzel",0,0,0,0,0,0,0,0,0,10
lymelife,r,,"alec baldwin, cynthia nixon, emma roberts, jill hennessy, kieran culkin, rory culkin, timothy hutton",drama,04/08/2009 (wed),derick martini,smf,screen media films,2009,,english,"alec baldwin, barbara de fina, jonathan cornick, leonard loventhal, michael g. jefferson, steven martini",,Q2 2009,dolby sr,scope,"derick martini, steven martini","421,307",167,4,35,"37,206",0,"6,940","27,758",4,93
"black prince, the",r,,"amanda root, atul sharma, david essex, jason flemyng, keith duffy, rup magon, satinder sartaaj, shabana azmi, sophie stevens","drama, foreign",7/21/2017,kavi raz,sca,seven colors america,,,english,"jai khanna, kavi raz","brillstein entertainment partners, firdaus production",Q3 2017,,,kavi raz,0,0,0,0,0,0,0,0,0,118
middle school:the worst years of my life,pg,,"adam pally, andrew daly, efren ramirez, griffin gluck, lauren graham, retta, rob riggle, thomas barbusca",comedy,10/7/2016,steve carr,lgf,lionsgate,2017,,english,"bill robinson, leopoldo gout",james patterson entertainment,Q4 2016,dolby srd,scope,"chris bowman, hubbel palmer, kara holden","20,007,149",88,"2,822","2,822","9,510,795","1,963,439","2,437","6,878,437","2,822",92
ashby,r,,"emma roberts, mickey rourke, nat wolff, sarah silverman","comedy, romance",9/25/2015,tony mcnamara,tfa,the film arcade,2016,,english,"compton ross, josh kesselman, phil hunt, rory koslow","head gear films, langley park pictures",Q3 2015,dolby srd,scope,tony mcnamara,"4,631",102,15,15,"4,631","2,076",309,"4,631",15,103
"persian connection, the",nc17,,"helena mattsson, julian sands, parviz sayyad, reza sixo safai","action, suspense",7/14/2017,daniel grove,sgf,samuel goldwyn films,,,english,"reza sixo safai, seth caplan",black light district,Q3 2017,,,daniel grove,0,0,1,1,"5,541","4,978","5,541","5,541",1,103
"clinton, inc.",pg13,,,documentary,9/30/2016,bill baber,free,freestyle releasing,,,english,doug sain,,Q3 2016,stereo,flat,bill baber,0,0,20,20,0,0,0,0,20,87
"prince, the",r,,"bruce willis, curtis '50 cent' jackson, gia mantegna, jason patric, jessica lowndes, john cusack, johnathon schaech, jung ji-hoon (rain), tara holt","suspense, action",8/22/2014,brian a. miller,tfa,the film arcade,2014,,english,"george furla, randall emmett",,Q3 2014,dolby sr,scope,"andre fabrizio, jeremy passmore",0,67,0,0,0,0,0,0,0,91
backstreet boys: show 'em what you're...,nr,,,"documentary, special events",05/13/2015 (wed),stephen kijak,fthm,fathom events,,,english,mia bays,,Q2 2015,,,,"153,068",0,0,60,0,0,0,0,0,135
bad kids of crestview academy,r,,"ben browder, drake bell, gina gershon, sammi hanratty, sean astin, sophia taylor ali",suspense,1/13/2017,ben browder,ind,independent,2017,,english,"barry wernick, brad keller, james r. hallam",,Q1 2017,dolby srd,flat,"barry wernick, james r. hallam",0,25,0,0,0,0,0,0,0,100
"secret lives of dorks, the",pg13,,"beau mirchoff, gaelan connell, james belushi, jennifer tilly, jim belushi, vanessa marano",comedy,9/27/2013,,ind,independent,2014,,english,"dominic ianno, stephen israel, steven j. wolfe",,Q3 2013,dolby sr,scope,"johnny severin, nicholas brandt",0,256,0,0,0,0,0,0,0,92
zombieland,r,,"abigail breslin, amber heard, bill murray, emma stone, jesse eisenberg, woody harrelson","comedy, horror",10/2/2009,ruben fleischer,sny,sony,2010,,english,gavin polone,"columbia pictures, pariah, relativity media",Q4 2009,quad,scope,"paul wernick, rhett reese","75,590,286",123,"3,036","3,171","32,801,081","9,449,569","8,147","24,733,155","3,036",88
mother!,r,,"brian gleeson, domhnall gleeson, ed harris, javier bardem, jennifer lawrence, michelle pfeiffer","horror, drama, suspense",9/15/2017,darren aronofsky,par,paramount,2017,,english,darren aronofsky,protozoa pictures,Q3 2017,quad,scope,darren aronofsky,"17,800,004",95,"2,368","2,368","10,169,018","3,091,084","3,182","7,534,673","2,368",121
in a dream,nr,,"ezekiel zagar, isaiah zagar, julia zagar",documentary,8/8/2008,jeremiah zagar,intf,international film circuit,,,english,jeremy yaches,,Q3 2008,stereo,digital,,"55,270",0,0,4,0,0,0,0,0,80
cast party: podcast festival live,nr,,,special events,07/28/2015 (tue),event director,fthm,fathom events,,,english,,,Q3 2015,,,,0,0,0,0,0,0,0,0,0,150
trash fire,r,,"adrian grenier, angela trimbur","comedy, horror",11/03/2016 (thu),richard bates jr.,orirl,orion releasing,2016,,,"david lawson jr., lawrence mattis",,Q4 2016,,,richard bates jr.,"1,781",33,11,11,"1,485",296,92,"1,013",11,91
